gate,item_id,scenario,level,variant_id,image_path,font_size,image_width,image_height,ink_ratio
moderation,mod_recipe_01,recipe,1,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_01/T3_sans.png,50,1400,435,0.08315106732348111
moderation,mod_recipe_01,recipe,1,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_01/A1_opendyslexic.png,40,1400,500,0.06706857142857142
moderation,mod_recipe_02,recipe,2,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_02/T3_sans.png,50,1400,376,0.07576177811550151
moderation,mod_recipe_02,recipe,2,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_02/A1_opendyslexic.png,40,1400,440,0.06048538961038961
moderation,mod_recipe_03,recipe,3,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_03/T3_sans.png,50,1400,435,0.07388013136288998
moderation,mod_recipe_03,recipe,3,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_03/A1_opendyslexic.png,40,1400,500,0.05945
moderation,mod_recipe_04,recipe,4,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_04/T3_sans.png,50,1400,376,0.06699088145896656
moderation,mod_recipe_04,recipe,4,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_04/A1_opendyslexic.png,40,1400,440,0.053657467532467536
moderation,mod_recipe_05,recipe,5,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_05/T3_sans.png,50,1400,376,0.0785790273556231
moderation,mod_recipe_05,recipe,5,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_recipe_05/A1_opendyslexic.png,40,1400,440,0.06243831168831169
moderation,mod_phone_01,phone,1,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_01/T3_sans.png,50,1400,376,0.08248290273556232
moderation,mod_phone_01,phone,1,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_01/A1_opendyslexic.png,40,1400,440,0.06518831168831168
moderation,mod_phone_02,phone,2,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_02/T3_sans.png,50,1400,376,0.07468085106382978
moderation,mod_phone_02,phone,2,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_02/A1_opendyslexic.png,40,1400,440,0.05945941558441559
moderation,mod_phone_03,phone,3,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_03/T3_sans.png,50,1400,376,0.08002849544072949
moderation,mod_phone_03,phone,3,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_03/A1_opendyslexic.png,40,1400,440,0.0632224025974026
moderation,mod_phone_04,phone,4,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_04/T3_sans.png,50,1400,376,0.08038563829787235
moderation,mod_phone_04,phone,4,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_04/A1_opendyslexic.png,40,1400,440,0.06342532467532468
moderation,mod_phone_05,phone,5,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_05/T3_sans.png,50,1400,435,0.07487027914614122
moderation,mod_phone_05,phone,5,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_phone_05/A1_opendyslexic.png,40,1400,440,0.0681801948051948
moderation,mod_parking_01,parking,1,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_parking_01/T3_sans.png,50,1400,435,0.07518062397372742
moderation,mod_parking_01,parking,1,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_parking_01/A1_opendyslexic.png,40,1400,500,0.06076714285714286
moderation,mod_parking_02,parking,2,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_parking_02/T3_sans.png,50,1400,376,0.07594794832826748
moderation,mod_parking_02,parking,2,A1_opendyslexic,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_parking_02/A1_opendyslexic.png,40,1400,440,0.06073376623376624
moderation,mod_parking_03,parking,3,T3_sans,/Users/wdanforth/Desktop/thinkingtype/data/rendered/gates/moderation/mod_parking_03/T3_sans.png,50,1400,435,0.07841379310344827
