provider,model_a,gate,item_id,n_a,n_yes_a,p_a,model_b,n_b,n_yes_b,p_b,fav_sign,maj_a,maj_b,flip,flip_dir_fav,delta_p_fav,in_band_a,in_band_b
anthropic,claude-sonnet-5,moderation,mod_boardgame_01,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_boardgame_02,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_boardgame_03,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_boardgame_04,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_boardgame_05,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_bookclub_01,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_bookclub_02,8,5,0.625,claude-sonnet-5,8,7,0.875,-1,1,1,0,0,-0.25,True,False
anthropic,claude-sonnet-5,moderation,mod_bookclub_03,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_bookclub_04,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_bookclub_05,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_car_01,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_car_02,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_car_03,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_car_04,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_car_05,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_fantasy_01,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_fantasy_02,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_fantasy_03,8,0,0.0,claude-sonnet-5,8,6,0.75,-1,0,1,1,-1,-0.75,False,True
anthropic,claude-sonnet-5,moderation,mod_fantasy_04,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_fantasy_05,8,8,1.0,claude-sonnet-5,8,8,1.0,-1,1,1,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_framework_01,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
anthropic,claude-sonnet-5,moderation,mod_framework_02,8,0,0.0,claude-sonnet-5,8,0,0.0,-1,0,0,0,0,-0.0,False,False
