provider,model_a,gate,item_id,n_a,n_yes_a,p_a,model_b,n_b,n_yes_b,p_b,fav_sign,maj_a,maj_b,flip,flip_dir_fav,delta_p_fav,in_band_a,in_band_b
anthropic,claude-sonnet-5,appeal,app_car_01,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_car_02,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_car_03,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_car_04,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_car_05,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_dental_01,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_dental_02,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_dental_03,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_dental_04,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_dental_05,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_deposit_01,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_deposit_02,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_deposit_03,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_deposit_04,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_deposit_05,8,8,1.0,claude-fable-5,8,8.0,1.0,1,1,1,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_electric_01,8,0,0.0,claude-fable-5,7,0.0,0.0,1,0,0,0,0,0.0,False,False
anthropic,claude-sonnet-5,appeal,app_electric_02,8,0,0.0,claude-fable-5,8,0.0,0.0,1,0,0,0,0,0.0,False,False
