provider,gate,variant_id,n,modality_fav_a,modality_fav_b,change
anthropic,appeal,A1_opendyslexic,18,-0.01851851851851852,-0.006944444444444444,0.011574074074074077
anthropic,appeal,A2_large_sans,18,-0.07407407407407408,0.002314814814814813,0.0763888888888889
anthropic,appeal,C1_red,18,-0.03703703703703704,0.002314814814814813,0.03935185185185185
anthropic,appeal,C2_gray,18,-0.0462962962962963,0.002314814814814813,0.04861111111111111
anthropic,appeal,H1_highlight,18,-0.05555555555555555,0.011574074074074077,0.06712962962962962
anthropic,appeal,L1_cramped,18,-0.0462962962962963,0.002314814814814813,0.04861111111111111
anthropic,appeal,T1_serif,18,-0.03703703703703704,-0.025462962962962965,0.011574074074074077
anthropic,appeal,T3_sans,18,0.0,0.020833333333333332,0.020833333333333332
anthropic,appeal,T7_comic,18,0.0,-0.016203703703703706,-0.016203703703703706
anthropic,moderation,A1_opendyslexic,6,0.10416666666666667,0.11805555555555557,0.013888888888888895
anthropic,moderation,A2_large_sans,6,-0.0625,0.09027777777777779,0.1527777777777778
anthropic,moderation,C1_red,6,0.15972222222222224,0.14583333333333334,-0.013888888888888895
anthropic,moderation,C2_gray,6,0.4375,0.09027777777777778,-0.3472222222222222
anthropic,moderation,H1_highlight,6,0.048611111111111126,-0.048611111111111105,-0.09722222222222224
anthropic,moderation,L1_cramped,6,0.10416666666666667,-0.0763888888888889,-0.18055555555555558
anthropic,moderation,T1_serif,6,0.10416666666666667,-0.048611111111111126,-0.1527777777777778
anthropic,moderation,T3_sans,6,0.4375,0.0625,-0.375
anthropic,moderation,T7_comic,6,0.048611111111111126,0.03472222222222223,-0.013888888888888895
anthropic,resume,A1_opendyslexic,18,0.0625,0.009259259259259257,-0.05324074074074074
anthropic,resume,A2_large_sans,18,0.09953703703703703,0.05555555555555555,-0.04398148148148148
anthropic,resume,C1_red,18,-0.002314814814814819,-6.1679056923619804e-18,0.002314814814814813
anthropic,resume,C2_gray,18,-0.03009259259259259,0.05555555555555555,0.08564814814814814
anthropic,resume,H1_highlight,18,0.034722222222222224,0.05555555555555555,0.02083333333333333
anthropic,resume,L1_cramped,18,0.07175925925925924,0.037037037037037035,-0.03472222222222221
anthropic,resume,T1_serif,18,-0.011574074074074077,0.10185185185185186,0.11342592592592593
anthropic,resume,T3_sans,18,-0.06712962962962964,0.05555555555555555,0.12268518518518519
anthropic,resume,T7_comic,18,0.034722222222222224,0.046296296296296294,0.01157407407407407
openai,appeal,A1_opendyslexic,20,0.008333333333333333,0.016666666666666666,0.008333333333333333
openai,appeal,A2_large_sans,20,0.0,0.04166666666666667,0.04166666666666667
openai,appeal,C1_red,20,0.0,0.025,0.025
openai,appeal,C2_gray,20,0.0,0.03333333333333333,0.03333333333333333
openai,appeal,H1_highlight,20,0.008333333333333333,0.016666666666666666,0.008333333333333333
openai,appeal,L1_cramped,20,0.016666666666666666,0.016666666666666666,0.0
openai,appeal,T1_serif,20,0.03333333333333333,0.016666666666666666,-0.016666666666666666
openai,appeal,T3_sans,20,0.008333333333333333,0.016666666666666666,0.008333333333333333
openai,appeal,T7_comic,20,0.0,0.025,0.025
openai,moderation,A1_opendyslexic,7,0.13690476190476192,-0.04761904761904761,-0.18452380952380953
openai,moderation,A2_large_sans,7,0.017857142857142856,0.02380952380952381,0.0059523809523809555
openai,moderation,C1_red,7,0.017857142857142856,0.07142857142857142,0.05357142857142857
openai,moderation,C2_gray,7,0.08928571428571429,0.16666666666666669,0.0773809523809524
openai,moderation,H1_highlight,7,0.06547619047619048,0.07142857142857142,0.005952380952380945
openai,moderation,L1_cramped,7,0.1130952380952381,0.14285714285714285,0.029761904761904753
openai,moderation,T1_serif,7,0.08928571428571429,-0.07142857142857142,-0.1607142857142857
openai,moderation,T3_sans,7,0.06547619047619048,0.07142857142857142,0.005952380952380945
openai,moderation,T7_comic,7,0.16071428571428573,-0.07142857142857142,-0.23214285714285715
openai,resume,A1_opendyslexic,19,-0.026315789473684216,0.006578947368421052,0.03289473684210527
openai,resume,A2_large_sans,19,-0.06140350877192983,-0.07236842105263158,-0.010964912280701754
openai,resume,C1_red,19,-0.10526315789473684,-0.010964912280701756,0.09429824561403508
openai,resume,C2_gray,19,-0.13157894736842105,0.01535087719298246,0.1469298245614035
openai,resume,H1_highlight,19,-0.09649122807017545,0.05921052631578947,0.15570175438596492
openai,resume,L1_cramped,19,-0.026315789473684216,0.015350877192982457,0.04166666666666667
openai,resume,T1_serif,19,-0.04385964912280702,0.05043859649122807,0.09429824561403509
openai,resume,T3_sans,19,-0.043859649122807015,0.06798245614035087,0.11184210526315788
openai,resume,T7_comic,19,-0.01754385964912281,0.03289473684210526,0.050438596491228074
