provider,gate,item_id,p_ref,p_acc,delta_p,fav_sign,delta_fav
anthropic,moderation,mod_aquarium_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_aquarium_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_boardgame_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_boardgame_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_bookclub_01,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_bookclub_02,0.0,1.0,1.0,-1,-1.0
anthropic,moderation,mod_brewing_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_brewing_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_camping_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_camping_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_car_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_car_03,0.0,1.0,1.0,-1,-1.0
anthropic,moderation,mod_chess_01,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_chess_02,0.0,1.0,1.0,-1,-1.0
anthropic,moderation,mod_coffee_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_coffee_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_comic_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_comic_03,0.8333333333333334,1.0,0.16666666666666663,-1,-0.16666666666666663
anthropic,moderation,mod_drone_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_drone_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_fantasy_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_fantasy_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_framework_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_framework_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_garden_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_garden_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_guitar_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_guitar_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_gym_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_gym_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_hiking_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_hiking_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_kayak_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_kayak_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_knitting_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_knitting_03,1.0,0.0,-1.0,-1,1.0
anthropic,moderation,mod_laptop_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_laptop_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_marathon_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_marathon_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_motorcycle_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_motorcycle_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_movie_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_movie_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_parking_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_parking_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_phone_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_phone_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_photography_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_photography_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_plants_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_plants_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_podcast_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_podcast_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_printer_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_printer_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_recipe_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_recipe_03,0.8333333333333334,1.0,0.16666666666666663,-1,-0.16666666666666663
anthropic,moderation,mod_restaurant_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_yoga_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_aquarium_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_aquarium_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_boardgame_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_boardgame_03,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_bookclub_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_bookclub_03,0.6666666666666666,1.0,0.33333333333333337,-1,-0.33333333333333337
google,moderation,mod_brewing_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_brewing_03,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_camping_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_camping_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_car_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_car_03,0.0,0.8333333333333334,0.8333333333333334,-1,-0.8333333333333334
google,moderation,mod_chess_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_chess_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_chess_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_coffee_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_coffee_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_comic_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_comic_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_drone_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_drone_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_fantasy_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_fantasy_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_framework_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_framework_03,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_garden_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_garden_03,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_guitar_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_guitar_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_gym_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_gym_03,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_hiking_03,0.0,1.0,1.0,-1,-1.0
google,moderation,mod_hiking_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_kayak_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_kayak_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_knitting_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_knitting_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_laptop_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_laptop_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_marathon_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_marathon_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_motorcycle_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_motorcycle_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_movie_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_movie_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_parking_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_parking_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_phone_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_phone_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_photography_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_photography_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_plants_02,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_plants_03,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_podcast_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_podcast_04,0.6666666666666666,0.8333333333333334,0.16666666666666674,-1,-0.16666666666666674
google,moderation,mod_printer_03,0.0,0.0,0.0,-1,-0.0
google,moderation,mod_printer_04,1.0,1.0,0.0,-1,-0.0
google,moderation,mod_recipe_03,0.0,0.0,0.0,-1,-0.0
