provider,model,gate,item_id,scenario,level,n,n_yes,p_yes,in_band,flip_dist
anthropic,claude-sonnet-5,moderation,mod_bookclub_02,bookclub,2,8,5,0.625,True,0.5
anthropic,claude-sonnet-5,moderation,mod_comic_03,comic,3,8,7,0.875,False,0.5
anthropic,claude-sonnet-5,moderation,mod_photography_03,photography,3,8,7,0.875,False,0.5
anthropic,claude-sonnet-5,moderation,mod_yoga_03,yoga,3,8,7,0.875,False,0.5
anthropic,claude-sonnet-5,moderation,mod_aquarium_03,aquarium,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_aquarium_04,aquarium,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_boardgame_02,boardgame,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_boardgame_03,boardgame,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_bookclub_01,bookclub,1,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_brewing_02,brewing,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_brewing_03,brewing,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_camping_03,camping,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_camping_04,camping,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_car_02,car,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_car_03,car,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_chess_01,chess,1,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_chess_02,chess,2,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_coffee_03,coffee,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_coffee_04,coffee,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_comic_02,comic,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_drone_03,drone,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_drone_04,drone,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_fantasy_03,fantasy,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_fantasy_04,fantasy,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_framework_02,framework,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_framework_03,framework,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_garden_02,garden,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_garden_03,garden,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_guitar_02,guitar,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_guitar_03,guitar,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_gym_02,gym,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_gym_03,gym,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_hiking_02,hiking,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_hiking_03,hiking,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_kayak_02,kayak,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_kayak_03,kayak,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_knitting_02,knitting,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_knitting_03,knitting,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_laptop_02,laptop,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_laptop_03,laptop,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_marathon_03,marathon,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_marathon_04,marathon,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_motorcycle_03,motorcycle,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_motorcycle_04,motorcycle,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_movie_02,movie,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_movie_03,movie,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_parking_02,parking,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_parking_03,parking,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_phone_03,phone,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_phone_04,phone,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_photography_02,photography,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_plants_02,plants,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_plants_03,plants,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_podcast_02,podcast,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_podcast_03,podcast,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_printer_03,printer,3,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_printer_04,printer,4,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_recipe_02,recipe,2,8,0,0.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_recipe_03,recipe,3,8,8,1.0,False,0.5
anthropic,claude-sonnet-5,moderation,mod_restaurant_02,restaurant,2,8,0,0.0,False,0.5
