provider,model,gate,item_id,scenario,level,n,n_yes,p_yes,in_band,flip_dist
google,models/gemini-3.5-flash,moderation,mod_car_03,car,3,8,5,0.625,True,0.5
google,models/gemini-3.5-flash,moderation,mod_knitting_03,knitting,3,8,3,0.375,True,0.5
google,models/gemini-3.5-flash,moderation,mod_chess_02,chess,2,8,3,0.375,True,1.5
google,models/gemini-3.5-flash,moderation,mod_soccer_04,soccer,4,8,7,0.875,False,0.5
google,models/gemini-3.5-flash,moderation,mod_aquarium_03,aquarium,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_aquarium_04,aquarium,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_boardgame_02,boardgame,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_boardgame_03,boardgame,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_bookclub_02,bookclub,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_bookclub_03,bookclub,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_brewing_02,brewing,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_brewing_03,brewing,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_camping_03,camping,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_camping_04,camping,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_car_02,car,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_chess_03,chess,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_chess_04,chess,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_coffee_03,coffee,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_coffee_04,coffee,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_comic_03,comic,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_comic_04,comic,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_drone_03,drone,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_drone_04,drone,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_fantasy_03,fantasy,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_fantasy_04,fantasy,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_framework_02,framework,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_framework_03,framework,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_garden_02,garden,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_garden_03,garden,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_guitar_03,guitar,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_guitar_04,guitar,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_gym_02,gym,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_gym_03,gym,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_hiking_03,hiking,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_hiking_04,hiking,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_kayak_03,kayak,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_kayak_04,kayak,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_knitting_04,knitting,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_laptop_03,laptop,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_laptop_04,laptop,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_marathon_03,marathon,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_marathon_04,marathon,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_motorcycle_03,motorcycle,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_motorcycle_04,motorcycle,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_movie_03,movie,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_movie_04,movie,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_parking_03,parking,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_parking_04,parking,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_phone_03,phone,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_phone_04,phone,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_photography_03,photography,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_photography_04,photography,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_plants_02,plants,2,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_plants_03,plants,3,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_podcast_03,podcast,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_podcast_04,podcast,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_printer_03,printer,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_printer_04,printer,4,8,8,1.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_recipe_03,recipe,3,8,0,0.0,False,0.5
google,models/gemini-3.5-flash,moderation,mod_recipe_04,recipe,4,8,8,1.0,False,0.5
