provider,variant_id,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,N1_forum_light,20,0.0020833333333333316,-0.0020833333333333316,-0.11875,0.13130208333333354,1.0,0.1,0
anthropic,N2_forum_dark,20,-0.06458333333333334,0.06458333333333334,-0.05625,0.2166666666666667,1.0,0.1,2
anthropic,N3_phone,20,-0.022916666666666675,0.022916666666666675,-0.14583333333333331,0.2,1.0,0.15,1
anthropic,T3_sans,20,-0.18125,0.18125,0.03125,0.34375,0.125,0.2,4
google,N1_forum_light,20,-0.08958333333333333,0.08958333333333333,0.0,0.19791666666666669,0.25,0.1,2
google,N2_forum_dark,20,-0.08958333333333332,0.08958333333333332,0.0,0.2125,0.25,0.1,2
google,N3_phone,20,-0.05625,0.05625,0.0,0.12916666666666668,0.25,0.05,1
google,T3_sans,20,-0.06458333333333334,0.06458333333333334,0.0,0.1625,0.5,0.1,2
openai,N1_forum_light,20,-0.1416666666666667,0.1416666666666667,0.0375,0.26458333333333334,0.0625,0.15,3
openai,N2_forum_dark,20,-0.10833333333333332,0.10833333333333332,0.020833333333333332,0.21666666666666665,0.0625,0.1,2
openai,N3_phone,20,-0.10833333333333335,0.10833333333333335,0.00625,0.23333333333333334,0.375,0.1,2
openai,T3_sans,20,-0.08333333333333333,0.08333333333333333,0.01875,0.17083333333333334,0.0625,0.05,1
