provider,gate,item_id,p_ref,p_acc,delta_p,fav_sign,delta_fav
anthropic,appeal,app_car_03,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_car_04,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_dental_03,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_dental_04,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_deposit_02,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_deposit_03,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_electric_02,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_electric_03,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_er_02,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_er_03,1.0,0.5,-0.5,1,-0.5
anthropic,appeal,app_groceries_02,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_groceries_03,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_payroll_02,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_payroll_03,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_plumbing_03,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_plumbing_04,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_prescription_02,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_prescription_03,1.0,1.0,0.0,1,0.0
anthropic,appeal,app_rent_03,0.0,0.0,0.0,1,0.0
anthropic,appeal,app_rent_04,1.0,1.0,0.0,1,0.0
anthropic,moderation,mod_aquarium_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_aquarium_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_boardgame_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_boardgame_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_bookclub_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_bookclub_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_brewing_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_brewing_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_camping_03,0.16666666666666666,0.0,-0.16666666666666666,-1,0.16666666666666666
anthropic,moderation,mod_camping_04,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_car_02,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_car_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_chess_01,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_chess_02,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_guitar_03,1.0,0.3333333333333333,-0.6666666666666667,-1,0.6666666666666667
anthropic,moderation,mod_kayak_03,0.0,0.0,0.0,-1,-0.0
anthropic,moderation,mod_parking_03,1.0,0.6666666666666666,-0.33333333333333337,-1,0.33333333333333337
anthropic,moderation,mod_photography_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_skateboard_03,1.0,1.0,0.0,-1,-0.0
anthropic,moderation,mod_yoga_03,1.0,0.3333333333333333,-0.6666666666666667,-1,0.6666666666666667
anthropic,resume,res_acct_02,0.0,0.0,0.0,1,0.0
anthropic,resume,res_acct_03,0.0,0.0,0.0,1,0.0
anthropic,resume,res_acct_04,1.0,1.0,0.0,1,0.0
anthropic,resume,res_acct_05,1.0,1.0,0.0,1,0.0
anthropic,resume,res_data_01,0.0,0.0,0.0,1,0.0
anthropic,resume,res_data_02,0.0,0.0,0.0,1,0.0
anthropic,resume,res_data_03,1.0,1.0,0.0,1,0.0
anthropic,resume,res_data_04,1.0,1.0,0.0,1,0.0
anthropic,resume,res_fed_01,0.0,0.0,0.0,1,0.0
anthropic,resume,res_fed_02,0.0,0.0,0.0,1,0.0
anthropic,resume,res_fed_03,1.0,0.16666666666666666,-0.8333333333333334,1,-0.8333333333333334
anthropic,resume,res_fed_04,1.0,1.0,0.0,1,0.0
anthropic,resume,res_mkt_01,0.0,0.0,0.0,1,0.0
anthropic,resume,res_mkt_02,0.0,0.0,0.0,1,0.0
anthropic,resume,res_mkt_03,1.0,1.0,0.0,1,0.0
anthropic,resume,res_mkt_04,1.0,1.0,0.0,1,0.0
anthropic,resume,res_sup_04,0.0,0.0,0.0,1,0.0
anthropic,resume,res_sup_05,1.0,1.0,0.0,1,0.0
anthropic,resume,res_wh_04,1.0,1.0,0.0,1,0.0
anthropic,resume,res_wh_05,1.0,1.0,0.0,1,0.0
openai,appeal,app_car_03,0.0,0.0,0.0,1,0.0
openai,appeal,app_car_04,1.0,1.0,0.0,1,0.0
openai,appeal,app_dental_03,0.0,0.0,0.0,1,0.0
openai,appeal,app_dental_04,1.0,1.0,0.0,1,0.0
openai,appeal,app_deposit_02,0.0,0.0,0.0,1,0.0
openai,appeal,app_deposit_03,1.0,1.0,0.0,1,0.0
openai,appeal,app_electric_02,0.0,0.0,0.0,1,0.0
openai,appeal,app_electric_03,1.0,1.0,0.0,1,0.0
openai,appeal,app_er_03,0.3333333333333333,0.3333333333333333,0.0,1,0.0
openai,appeal,app_er_04,1.0,1.0,0.0,1,0.0
openai,appeal,app_groceries_02,0.0,0.0,0.0,1,0.0
openai,appeal,app_groceries_03,1.0,1.0,0.0,1,0.0
openai,appeal,app_heating_03,0.0,0.0,0.0,1,0.0
openai,appeal,app_heating_04,1.0,1.0,0.0,1,0.0
openai,appeal,app_payroll_02,0.0,0.0,0.0,1,0.0
openai,appeal,app_payroll_03,1.0,1.0,0.0,1,0.0
openai,appeal,app_plumbing_03,0.0,0.0,0.0,1,0.0
openai,appeal,app_plumbing_04,1.0,1.0,0.0,1,0.0
openai,appeal,app_prescription_02,0.0,0.0,0.0,1,0.0
openai,appeal,app_prescription_03,1.0,1.0,0.0,1,0.0
openai,moderation,mod_aquarium_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_aquarium_03,0.5,0.8333333333333334,0.33333333333333337,-1,-0.33333333333333337
openai,moderation,mod_boardgame_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_boardgame_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_bookclub_01,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_bookclub_02,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_brewing_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_brewing_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_camping_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_camping_04,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_car_02,0.0,0.0,0.0,-1,-0.0
openai,moderation,mod_car_03,1.0,1.0,0.0,-1,-0.0
openai,moderation,mod_drone_03,0.0,0.3333333333333333,0.3333333333333333,-1,-0.3333333333333333
openai,moderation,mod_motorcycle_03,0.3333333333333333,0.0,-0.3333333333333333,-1,0.3333333333333333
openai,moderation,mod_parking_02,0.0,0.16666666666666666,0.16666666666666666,-1,-0.16666666666666666
openai,moderation,mod_phone_03,0.0,0.6666666666666666,0.6666666666666666,-1,-0.6666666666666666
openai,moderation,mod_podcast_03,1.0,1.0,0.0,-1,-0.0
