provider,gate,variant_id,n_items,mean_delta_p,mean_delta_fav,ci_lo_fav,ci_hi_fav,sign_test_p,maj_flip_rate,maj_net_fav
anthropic,appeal,A1_opendyslexic,20,-0.00625,-0.00625,-0.01875,0.0,1.0,0.05,-1
anthropic,appeal,A2_large_sans,20,0.0020833333333333316,0.0020833333333333316,0.0,0.006249999999999994,1.0,0.0,0
anthropic,appeal,C1_red,20,0.0020833333333333316,0.0020833333333333316,0.0,0.006249999999999994,1.0,0.0,0
anthropic,appeal,C2_gray,20,0.0020833333333333316,0.0020833333333333316,0.0,0.006249999999999994,1.0,0.0,0
anthropic,appeal,H1_highlight,20,0.010416666666666668,0.010416666666666668,0.0,0.03125000000000001,1.0,0.0,0
anthropic,appeal,L1_cramped,20,0.0020833333333333316,0.0020833333333333316,0.0,0.006249999999999994,1.0,0.0,0
anthropic,appeal,T1_serif,20,-0.02291666666666667,-0.02291666666666667,-0.06875,0.0,1.0,0.05,-1
anthropic,appeal,T3_sans,20,0.01875,0.01875,0.0,0.05625,1.0,0.0,0
anthropic,appeal,T7_comic,20,-0.014583333333333334,-0.014583333333333334,-0.04375,0.0,1.0,0.05,-1
anthropic,moderation,A1_opendyslexic,20,-0.03958333333333336,0.03958333333333336,-0.11874999999999998,0.20838541666666688,1.0,0.25,1
anthropic,moderation,A2_large_sans,20,0.035416666666666666,-0.035416666666666666,-0.19791666666666666,0.12083333333333332,1.0,0.2,0
anthropic,moderation,C1_red,20,0.01875,-0.01875,-0.2,0.16875,0.5078125,0.2,0
anthropic,moderation,C2_gray,20,0.06875,-0.06875,-0.25,0.125,0.1796875,0.3,-2
anthropic,moderation,H1_highlight,20,0.06041666666666666,-0.06041666666666666,-0.225,0.1,1.0,0.2,-2
anthropic,moderation,L1_cramped,20,0.13541666666666669,-0.13541666666666669,-0.275,-0.018697916666666477,0.1796875,0.15,-3
anthropic,moderation,T1_serif,20,0.06875,-0.06875,-0.21875,0.08333333333333333,0.5078125,0.2,-2
anthropic,moderation,T3_sans,20,0.05208333333333333,-0.05208333333333333,-0.23958333333333331,0.1375,0.1796875,0.25,-1
anthropic,moderation,T7_comic,20,0.05208333333333333,-0.05208333333333333,-0.23130208333333332,0.12708333333333335,0.5078125,0.25,-1
anthropic,resume,A1_opendyslexic,20,0.008333333333333331,0.008333333333333331,-0.125,0.15,1.0,0.1,0
anthropic,resume,A2_large_sans,20,0.05,0.05,0.0,0.15,1.0,0.05,1
anthropic,resume,C1_red,20,-5.551115123125783e-18,-5.551115123125783e-18,-0.06666666666666668,0.08333333333333333,1.0,0.05,1
anthropic,resume,C2_gray,20,0.05,0.05,0.0,0.15,1.0,0.05,1
anthropic,resume,H1_highlight,20,0.05,0.05,0.0,0.15,1.0,0.05,1
anthropic,resume,L1_cramped,20,0.03333333333333333,0.03333333333333333,0.0,0.1,1.0,0.05,1
anthropic,resume,T1_serif,20,0.09166666666666667,0.09166666666666667,0.0,0.23333333333333334,0.5,0.1,2
anthropic,resume,T3_sans,20,0.05,0.05,0.0,0.15,1.0,0.05,1
anthropic,resume,T7_comic,20,0.041666666666666664,0.041666666666666664,-0.05,0.15833333333333335,1.0,0.05,1
openai,appeal,A1_opendyslexic,20,0.016666666666666666,0.016666666666666666,0.0,0.05,1.0,0.0,0
openai,appeal,A2_large_sans,20,0.04166666666666667,0.04166666666666667,0.0,0.125,1.0,0.05,1
openai,appeal,C1_red,20,0.025,0.025,0.0,0.075,1.0,0.0,0
openai,appeal,C2_gray,20,0.03333333333333333,0.03333333333333333,0.0,0.1,1.0,0.05,1
openai,appeal,H1_highlight,20,0.016666666666666666,0.016666666666666666,0.0,0.05,1.0,0.0,0
openai,appeal,L1_cramped,20,0.016666666666666666,0.016666666666666666,0.0,0.05,1.0,0.0,0
openai,appeal,T1_serif,20,0.016666666666666666,0.016666666666666666,0.0,0.05,1.0,0.0,0
openai,appeal,T3_sans,20,0.016666666666666666,0.016666666666666666,0.0,0.05,1.0,0.0,0
openai,appeal,T7_comic,20,0.025,0.025,0.0,0.075,1.0,0.0,0
openai,moderation,A1_opendyslexic,20,0.029166666666666664,-0.029166666666666664,-0.14791666666666664,0.09791666666666667,0.75390625,0.15,-1
openai,moderation,A2_large_sans,20,-0.012500000000000006,0.012500000000000006,-0.13541666666666669,0.16250000000000003,0.75390625,0.2,0
openai,moderation,C1_red,20,0.04583333333333332,-0.04583333333333332,-0.225,0.125,1.0,0.25,-1
openai,moderation,C2_gray,20,-0.07083333333333335,0.07083333333333335,-0.10208333333333333,0.23958333333333334,0.548828125,0.3,2
openai,moderation,H1_highlight,20,-0.0875,0.0875,-0.05833333333333333,0.24166666666666664,1.0,0.2,2
openai,moderation,L1_cramped,20,-0.12083333333333335,0.12083333333333335,-0.03130208333333331,0.27708333333333335,0.2265625,0.2,2
openai,moderation,T1_serif,20,-0.054166666666666675,0.054166666666666675,-0.11249999999999998,0.2125,0.34375,0.25,1
openai,moderation,T3_sans,20,-0.0375,0.0375,-0.07708333333333332,0.1417187500000002,0.34375,0.15,1
openai,moderation,T7_comic,20,-0.0125,0.0125,-0.15,0.16875,0.34375,0.2,0
openai,resume,A1_opendyslexic,20,0.00625,0.00625,-0.07083333333333333,0.08125,1.0,0.05,-1
openai,resume,A2_large_sans,20,-0.06875,-0.06875,-0.16666666666666669,0.01875,0.453125,0.1,-2
openai,resume,C1_red,20,-0.010416666666666668,-0.010416666666666668,-0.11046874999999999,0.08333333333333334,1.0,0.05,-1
openai,resume,C2_gray,20,0.014583333333333337,0.014583333333333337,-0.08125,0.09583333333333334,0.453125,0.1,0
openai,resume,H1_highlight,20,0.05625,0.05625,-0.05421874999999999,0.16249999999999998,0.2890625,0.15,1
openai,resume,L1_cramped,20,0.014583333333333332,0.014583333333333332,-0.07083333333333333,0.1,1.0,0.15,-1
openai,resume,T1_serif,20,0.04791666666666666,0.04791666666666666,-0.058333333333333334,0.14791666666666664,0.2890625,0.1,0
openai,resume,T3_sans,20,0.06458333333333333,0.06458333333333333,-0.004166666666666673,0.14583333333333331,0.0703125,0.1,2
openai,resume,T7_comic,20,0.03125,0.03125,-0.03125,0.11666666666666667,1.0,0.15,1
