provider,model,gate,item_id,scenario,level,n,n_yes,p_yes,in_band,flip_dist
anthropic,claude-fable-5,appeal,app_er_03,er,3,8,5.0,0.625,True,0.5
anthropic,claude-fable-5,appeal,app_car_03,car,3,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_car_04,car,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_dental_03,dental,3,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_dental_04,dental,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_deposit_02,deposit,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_deposit_03,deposit,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_electric_02,electric,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_electric_03,electric,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_er_02,er,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_groceries_02,groceries,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_groceries_03,groceries,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_payroll_02,payroll,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_payroll_03,payroll,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_plumbing_03,plumbing,3,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_plumbing_04,plumbing,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_prescription_02,prescription,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_prescription_03,prescription,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,appeal,app_rent_03,rent,3,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,appeal,app_rent_04,rent,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_parking_03,parking,3,8,3.0,0.375,True,0.5
anthropic,claude-fable-5,moderation,mod_guitar_03,guitar,3,8,6.0,0.75,True,0.5
anthropic,claude-fable-5,moderation,mod_camping_03,camping,3,8,1.0,0.125,False,0.5
anthropic,claude-fable-5,moderation,mod_chess_02,chess,2,8,7.0,0.875,False,0.5
anthropic,claude-fable-5,moderation,mod_kayak_03,kayak,3,8,7.0,0.875,False,0.5
anthropic,claude-fable-5,moderation,mod_photography_03,photography,3,8,7.0,0.875,False,0.5
anthropic,claude-fable-5,moderation,mod_skateboard_03,skateboard,3,8,1.0,0.125,False,0.5
anthropic,claude-fable-5,moderation,mod_yoga_03,yoga,3,8,1.0,0.125,False,0.5
anthropic,claude-fable-5,moderation,mod_aquarium_03,aquarium,3,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,moderation,mod_aquarium_04,aquarium,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_boardgame_02,boardgame,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,moderation,mod_boardgame_03,boardgame,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_bookclub_02,bookclub,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,moderation,mod_bookclub_03,bookclub,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_brewing_02,brewing,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,moderation,mod_brewing_03,brewing,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_camping_04,camping,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_car_02,car,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,moderation,mod_car_03,car,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,moderation,mod_chess_01,chess,1,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_acct_03,acct,3,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_acct_04,acct,4,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,resume,res_data_02,data,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_data_03,data,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,resume,res_fed_02,fed,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_fed_03,fed,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,resume,res_mkt_02,mkt,2,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_mkt_03,mkt,3,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,resume,res_sup_04,sup,4,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_sup_05,sup,5,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,resume,res_wh_04,wh,4,8,0.0,0.0,False,0.5
anthropic,claude-fable-5,resume,res_wh_05,wh,5,8,8.0,1.0,False,0.5
anthropic,claude-fable-5,resume,res_acct_02,acct,2,8,0.0,0.0,False,1.5
anthropic,claude-fable-5,resume,res_acct_05,acct,5,8,8.0,1.0,False,1.5
anthropic,claude-fable-5,resume,res_data_01,data,1,8,0.0,0.0,False,1.5
anthropic,claude-fable-5,resume,res_data_04,data,4,8,8.0,1.0,False,1.5
anthropic,claude-fable-5,resume,res_fed_01,fed,1,3,0.0,0.0,False,1.5
anthropic,claude-fable-5,resume,res_fed_04,fed,4,8,8.0,1.0,False,1.5
anthropic,claude-fable-5,resume,res_mkt_01,mkt,1,8,0.0,0.0,False,1.5
anthropic,claude-fable-5,resume,res_mkt_04,mkt,4,8,8.0,1.0,False,1.5
