provider,model,gate,item_id,scenario,level,n,n_yes,p_yes,in_band,flip_dist
openai,gpt-5.6-sol,appeal,app_car_03,car,3,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_car_04,car,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_dental_03,dental,3,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_dental_04,dental,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_deposit_02,deposit,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_deposit_03,deposit,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_electric_02,electric,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_electric_03,electric,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_er_03,er,3,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_er_04,er,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_groceries_02,groceries,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_groceries_03,groceries,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_heating_03,heating,3,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_heating_04,heating,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_payroll_02,payroll,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_payroll_03,payroll,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_plumbing_03,plumbing,3,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_plumbing_04,plumbing,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,appeal,app_prescription_02,prescription,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,appeal,app_prescription_03,prescription,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_camping_03,camping,3,8,2,0.25,True,0.5
openai,gpt-5.6-sol,moderation,mod_parking_02,parking,2,8,2,0.25,True,0.5
openai,gpt-5.6-sol,moderation,mod_phone_03,phone,3,8,2,0.25,True,0.5
openai,gpt-5.6-sol,moderation,mod_drone_03,drone,3,8,1,0.125,False,0.5
openai,gpt-5.6-sol,moderation,mod_motorcycle_03,motorcycle,3,8,7,0.875,False,0.5
openai,gpt-5.6-sol,moderation,mod_podcast_03,podcast,3,8,7,0.875,False,0.5
openai,gpt-5.6-sol,moderation,mod_printer_03,printer,3,8,7,0.875,False,0.5
openai,gpt-5.6-sol,moderation,mod_restaurant_02,restaurant,2,8,1,0.125,False,0.5
openai,gpt-5.6-sol,moderation,mod_treadmill_03,treadmill,3,8,1,0.125,False,0.5
openai,gpt-5.6-sol,moderation,mod_aquarium_02,aquarium,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_aquarium_03,aquarium,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_boardgame_02,boardgame,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_boardgame_03,boardgame,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_bookclub_01,bookclub,1,8,0,0.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_bookclub_02,bookclub,2,8,8,1.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_brewing_02,brewing,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_brewing_03,brewing,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_camping_04,camping,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_car_02,car,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,moderation,mod_car_03,car,3,8,8,1.0,False,0.5
openai,gpt-5.6-sol,resume,res_mkt_03,mkt,3,8,4,0.5,True,0.5
openai,gpt-5.6-sol,resume,res_sup_03,sup,3,8,5,0.625,True,0.5
openai,gpt-5.6-sol,resume,res_wh_03,wh,3,8,2,0.25,True,0.5
openai,gpt-5.6-sol,resume,res_sup_04,sup,4,8,5,0.625,True,1.5
openai,gpt-5.6-sol,resume,res_data_03,data,3,8,7,0.875,False,0.5
openai,gpt-5.6-sol,resume,res_fed_03,fed,3,8,1,0.125,False,0.5
openai,gpt-5.6-sol,resume,res_wh_04,wh,4,8,7,0.875,False,0.5
openai,gpt-5.6-sol,resume,res_acct_03,acct,3,8,0,0.0,False,0.5
openai,gpt-5.6-sol,resume,res_acct_04,acct,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,resume,res_data_02,data,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,resume,res_fed_04,fed,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,resume,res_mkt_04,mkt,4,8,8,1.0,False,0.5
openai,gpt-5.6-sol,resume,res_sup_02,sup,2,8,0,0.0,False,0.5
openai,gpt-5.6-sol,resume,res_acct_02,acct,2,8,0,0.0,False,1.5
openai,gpt-5.6-sol,resume,res_acct_05,acct,5,8,8,1.0,False,1.5
openai,gpt-5.6-sol,resume,res_data_01,data,1,8,0,0.0,False,1.5
openai,gpt-5.6-sol,resume,res_data_04,data,4,8,8,1.0,False,1.5
openai,gpt-5.6-sol,resume,res_fed_02,fed,2,8,0,0.0,False,1.5
openai,gpt-5.6-sol,resume,res_fed_05,fed,5,8,8,1.0,False,1.5
openai,gpt-5.6-sol,resume,res_mkt_02,mkt,2,8,0,0.0,False,1.5
