dimension_id,approval_rate_ocr,approval_rate_image,n
formal,1.0,1.0,288
professional,0.5555555555555556,0.6145833333333334,288
persuasive,0.3888888888888889,0.4131944444444444,288
immediate_action,0.19444444444444445,0.22916666666666666,288
trustworthy,0.7777777777777778,0.2222222222222222,288
urgent,0.08333333333333333,0.18055555555555555,288
high_risk,0.6111111111111112,0.17708333333333334,288
emotional,0.027777777777777776,0.017361111111111112,288
confident,0.08333333333333333,0.006944444444444444,288
form_dependent,0.0,0.0,288
