sentence_id,approval_rate_ocr,approval_rate_image,n
19,0.7,0.5875,80
20,0.6,0.475,80
7,0.4,0.4125,80
15,0.4,0.4,80
29,0.4,0.4,80
25,0.4,0.3875,80
34,0.4,0.375,80
32,0.5,0.375,80
36,0.5,0.3625,80
16,0.5,0.35,80
3,0.3,0.3375,80
8,0.5,0.325,80
23,0.4,0.2875,80
21,0.5,0.2875,80
4,0.3,0.2875,80
27,0.3,0.275,80
26,0.3,0.2625,80
30,0.3,0.25,80
12,0.3,0.2375,80
1,0.3,0.2375,80
28,0.3,0.2375,80
6,0.4,0.2375,80
31,0.3,0.2375,80
35,0.4,0.225,80
14,0.4,0.225,80
22,0.5,0.225,80
18,0.4,0.225,80
33,0.3,0.2125,80
9,0.3,0.2125,80
2,0.2,0.2,80
10,0.4,0.2,80
13,0.2,0.2,80
11,0.2,0.2,80
17,0.3,0.2,80
24,0.2,0.2,80
5,0.3,0.15,80
