group_type,group_id,no_to_yes,yes_to_no,total_flips,pct_no_to_yes,pct_yes_to_no,net_bias
overall,all,106,346,452,23.451327433628318,76.54867256637168,-53.09734513274336
dimension,trustworthy,0,160,160,0.0,100.0,-100.0
dimension,high_risk,1,126,127,0.7874015748031497,99.21259842519684,-98.42519685039369
dimension,persuasive,22,15,37,59.45945945945946,40.54054054054054,18.91891891891892
dimension,professional,27,10,37,72.97297297297297,27.027027027027028,45.94594594594594
dimension,urgent,36,0,36,100.0,0.0,100.0
dimension,confident,1,23,24,4.166666666666667,95.83333333333333,-91.66666666666666
dimension,immediate_action,17,7,24,70.83333333333333,29.166666666666668,41.66666666666666
dimension,emotional,2,5,7,28.571428571428573,71.42857142857143,-42.85714285714286
dimension,form_dependent,0,0,0,0.0,0.0,0.0
dimension,formal,0,0,0,0.0,0.0,0.0
variant,T5_arial_all_caps,43,42,85,50.588235294117645,49.411764705882355,1.17647058823529
variant,T7_comic,9,48,57,15.789473684210526,84.21052631578948,-68.42105263157896
variant,T6_monospace,10,44,54,18.51851851851852,81.48148148148148,-62.96296296296296
variant,T2_times_bold,10,43,53,18.867924528301888,81.13207547169812,-62.26415094339623
variant,T3_arial_regular,9,44,53,16.9811320754717,83.01886792452831,-66.03773584905662
variant,A1_opendyslexic_regular,7,43,50,14.0,86.0,-72.0
variant,T1_times_regular,8,42,50,16.0,84.0,-68.0
variant,T4_arial_bold,10,40,50,20.0,80.0,-60.0
