variant_id,flip_direction,count,rate
A1_opendyslexic_regular,NO→YES,7,0.13725490196078433
A1_opendyslexic_regular,YES→NO,44,0.8627450980392157
T1_times_regular,NO→YES,8,0.1568627450980392
T1_times_regular,YES→NO,43,0.8431372549019608
T2_times_bold,NO→YES,10,0.18518518518518517
T2_times_bold,YES→NO,44,0.8148148148148148
T3_arial_regular,NO→YES,9,0.16666666666666666
T3_arial_regular,YES→NO,45,0.8333333333333334
T4_arial_bold,NO→YES,10,0.19607843137254902
T4_arial_bold,YES→NO,41,0.803921568627451
T5_arial_all_caps,NO→YES,42,0.5
T5_arial_all_caps,YES→NO,42,0.5
T6_monospace,NO→YES,10,0.18181818181818182
T6_monospace,YES→NO,45,0.8181818181818182
T7_comic,NO→YES,9,0.15517241379310345
T7_comic,YES→NO,49,0.8448275862068966
