metric,group_type,group_id,value,ci_low,ci_high,n
flip_rate,overall,all,0.048109965635738834,0.0,0.08284023668639054,291
flip_rate,variant,A1_opendyslexic_regular,0.027777777777777776,,,36
flip_rate,variant,T1_times_regular,0.027777777777777776,,,36
flip_rate,variant,T2_times_bold,0.05555555555555555,,,36
flip_rate,variant,T3_arial_regular,0.05555555555555555,,,36
flip_rate,variant,T4_arial_bold,0.05555555555555555,,,36
flip_rate,variant,T5_arial_all_caps,0.05555555555555555,,,36
flip_rate,variant,T6_monospace,0.05555555555555555,,,36
flip_rate,variant,T7_comic,0.05555555555555555,,,36
flip_rate,variant,T8_small_text,0.0,,,3
direction,overall,all,0.0,,,14
correlation,dimension,confident,-0.06740220797602872,,,291
lift,dimension,confident,0.0,,,291
correlation,dimension,emotional,0.4887286010423184,,,291
lift,dimension,emotional,22.53968253968254,,,291
correlation,dimension,form_dependent,0.0,,,291
lift,dimension,form_dependent,0.0,,,291
correlation,dimension,formal,0.0,,,291
lift,dimension,formal,0.0,,,291
correlation,dimension,high_risk,-0.19783542931573705,,,291
lift,dimension,high_risk,0.0,,,291
correlation,dimension,immediate_action,-0.009027081425360945,,,291
lift,dimension,immediate_action,0.8557692307692307,,,291
correlation,dimension,persuasive,0.05584681600531239,,,291
lift,dimension,persuasive,1.8157894736842104,,,291
correlation,dimension,professional,-0.08712758391444596,,,291
lift,dimension,professional,0.0,,,291
correlation,dimension,trustworthy,-0.25018737771031746,,,291
lift,dimension,trustworthy,0.0,,,291
correlation,dimension,urgent,-0.0356988610524158,,,291
lift,dimension,urgent,0.5448717948717948,,,291
