group_type,group_id,flip_count,total,flip_rate,ci_low,ci_high
overall,all,452,2880,0.15694444444444444,0.134375,0.180625
dimension,trustworthy,160,288,0.5555555555555556,0.45,0.6579246411483253
dimension,high_risk,127,288,0.4409722222222222,0.33125,0.55625
dimension,persuasive,37,288,0.1284722222222222,0.056202445652173916,0.18756793478260833
dimension,professional,37,288,0.1284722222222222,0.05434782608695652,0.19021739130434784
dimension,urgent,36,288,0.125,0.06546972049689441,0.17613636363636365
dimension,confident,24,288,0.08333333333333333,0.005434782608695652,0.14285714285714285
dimension,immediate_action,24,288,0.08333333333333333,0.021716485507246377,0.13095238095238096
dimension,emotional,7,288,0.024305555555555556,0.0,0.041666666666666664
dimension,form_dependent,0,288,0.0,0.0,0.0
dimension,formal,0,288,0.0,0.0,0.0
variant,T5_arial_all_caps,85,360,0.2361111111111111,0.2045405138339921,0.26666666666666666
variant,T7_comic,57,360,0.15833333333333333,0.13199545454545455,0.185
variant,T6_monospace,54,360,0.15,0.12380952380952381,0.1761904761904762
variant,T2_times_bold,53,360,0.14722222222222223,0.12399523809523809,0.17142857142857143
variant,T3_arial_regular,53,360,0.14722222222222223,0.12105263157894737,0.17272727272727273
variant,A1_opendyslexic_regular,50,360,0.1388888888888889,0.11304347826086956,0.16363636363636364
variant,T1_times_regular,50,360,0.1388888888888889,0.1125,0.1654166666666665
variant,T4_arial_bold,50,360,0.1388888888888889,0.11363636363636363,0.16363636363636364
