dimension_id,flip_direction,count,rate
confident,NO→YES,1,0.041666666666666664
confident,YES→NO,23,0.9583333333333334
emotional,NO→YES,2,0.2857142857142857
emotional,YES→NO,5,0.7142857142857143
high_risk,NO→YES,1,0.007874015748031496
high_risk,YES→NO,126,0.9921259842519685
immediate_action,NO→YES,17,0.7083333333333334
immediate_action,YES→NO,7,0.2916666666666667
persuasive,NO→YES,22,0.5789473684210527
persuasive,YES→NO,16,0.42105263157894735
professional,NO→YES,27,0.7105263157894737
professional,YES→NO,11,0.2894736842105263
trustworthy,YES→NO,161,1.0
urgent,NO→YES,36,1.0
