variant_id,flip_direction,count,rate
A1_opendyslexic_regular,NO→YES,7,0.14
A1_opendyslexic_regular,YES→NO,43,0.86
T1_times_regular,NO→YES,8,0.16
T1_times_regular,YES→NO,42,0.84
T2_times_bold,NO→YES,10,0.18867924528301888
T2_times_bold,YES→NO,43,0.8113207547169812
T3_arial_regular,NO→YES,9,0.16981132075471697
T3_arial_regular,YES→NO,44,0.8301886792452831
T4_arial_bold,NO→YES,10,0.2
T4_arial_bold,YES→NO,40,0.8
T5_arial_all_caps,NO→YES,43,0.5058823529411764
T5_arial_all_caps,YES→NO,42,0.49411764705882355
T6_monospace,NO→YES,10,0.18518518518518517
T6_monospace,YES→NO,44,0.8148148148148148
T7_comic,NO→YES,9,0.15789473684210525
T7_comic,YES→NO,48,0.8421052631578947
T8_small_text,YES→NO,3,1.0
