group_type,group_id,no_to_yes,yes_to_no,total_flips,pct_no_to_yes,pct_yes_to_no,net_bias
overall,all,253,223,476,53.15126050420168,46.84873949579832,6.30252100840336
dimension,trustworthy,134,6,140,95.71428571428571,4.285714285714286,91.42857142857142
dimension,confident,21,62,83,25.301204819277107,74.6987951807229,-49.39759036144579
dimension,formal,2,59,61,3.278688524590164,96.72131147540983,-93.44262295081967
dimension,professional,0,51,51,0.0,100.0,-100.0
dimension,persuasive,48,2,50,96.0,4.0,92.0
dimension,immediate_action,27,15,42,64.28571428571429,35.714285714285715,28.571428571428577
dimension,high_risk,16,15,31,51.61290322580645,48.38709677419355,3.225806451612897
dimension,urgent,5,5,10,50.0,50.0,0.0
dimension,form_dependent,0,8,8,0.0,100.0,-100.0
dimension,emotional,0,0,0,0.0,0.0,0.0
variant,T7_comic,31,48,79,39.24050632911393,60.75949367088607,-21.518987341772146
variant,A1_opendyslexic_regular,28,40,68,41.1764705882353,58.8235294117647,-17.647058823529406
variant,T3_arial_regular,32,26,58,55.172413793103445,44.827586206896555,10.34482758620689
variant,T2_times_bold,36,20,56,64.28571428571429,35.714285714285715,28.571428571428577
variant,T5_arial_all_caps,39,17,56,69.64285714285714,30.357142857142858,39.28571428571428
variant,T4_arial_bold,30,24,54,55.55555555555556,44.44444444444444,11.111111111111114
variant,T1_times_regular,29,24,53,54.716981132075475,45.283018867924525,9.43396226415095
variant,T6_monospace,28,24,52,53.84615384615385,46.15384615384615,7.692307692307693
