metric,group_type,group_id,value,ci_low,ci_high,n
flip_rate,overall,all,0.1111111111111111,0.041666666666666664,0.19047619047619047,288
flip_rate,variant,A1_opendyslexic_regular,0.1111111111111111,,,36
flip_rate,variant,T1_times_regular,0.1111111111111111,,,36
flip_rate,variant,T2_times_bold,0.1111111111111111,,,36
flip_rate,variant,T3_arial_regular,0.1111111111111111,,,36
flip_rate,variant,T4_arial_bold,0.1111111111111111,,,36
flip_rate,variant,T5_arial_all_caps,0.1111111111111111,,,36
flip_rate,variant,T6_monospace,0.1111111111111111,,,36
flip_rate,variant,T7_comic,0.1111111111111111,,,36
direction,overall,all,-1.0,,,32
correlation,dimension,confident,0.21412438128616165,,,288
lift,dimension,confident,3.1755593803786573,,,288
correlation,dimension,emotional,0.0,,,288
lift,dimension,emotional,0.0,,,288
correlation,dimension,form_dependent,-0.059761430466719535,,,288
lift,dimension,form_dependent,0.0,,,288
correlation,dimension,formal,-0.02103173981353006,,,288
lift,dimension,formal,0.8587641866330391,,,288
correlation,dimension,high_risk,-0.12279177908831386,,,288
lift,dimension,high_risk,0.0,,,288
correlation,dimension,immediate_action,-0.14608717744769467,,,288
lift,dimension,immediate_action,0.0,,,288
correlation,dimension,persuasive,-0.16205093088804157,,,288
lift,dimension,persuasive,0.0,,,288
correlation,dimension,professional,-0.1640083356943032,,,288
lift,dimension,professional,0.0,,,288
correlation,dimension,trustworthy,0.363514589999987,,,288
lift,dimension,trustworthy,0.0,,,288
correlation,dimension,urgent,-0.006705522259822751,,,288
lift,dimension,urgent,0.8967741935483872,,,288
