group_type,group_id,flip_count,total,flip_rate,ci_low,ci_high
overall,all,524,3240,0.1617283950617284,0.14490651709401708,0.1782828282828283
dimension,trustworthy,156,324,0.48148148148148145,0.3636034255599473,0.6055555555555555
dimension,confident,91,324,0.2808641975308642,0.18981481481481483,0.37037037037037035
dimension,formal,63,324,0.19444444444444445,0.14492753623188406,0.23737373737373738
dimension,professional,58,324,0.17901234567901234,0.08695652173913043,0.26455026455026454
dimension,persuasive,55,324,0.1697530864197531,0.08796296296296297,0.24338624338624337
dimension,immediate_action,46,324,0.1419753086419753,0.057966183574879225,0.21296296296296297
dimension,high_risk,35,324,0.10802469135802469,0.03997222222222222,0.16908212560386474
dimension,urgent,11,324,0.033950617283950615,0.005291005291005291,0.05555555555555555
dimension,form_dependent,9,324,0.027777777777777776,0.0,0.05
dimension,emotional,0,324,0.0,0.0,0.0
variant,T7_comic,79,360,0.21944444444444444,0.2,0.2409090909090909
variant,A1_opendyslexic_regular,68,360,0.18888888888888888,0.16666666666666666,0.20952380952380953
variant,T3_arial_regular,58,360,0.16111111111111112,0.1409090909090909,0.18181818181818182
variant,T2_times_bold,56,360,0.15555555555555556,0.13199545454545455,0.17916666666666667
variant,T5_arial_all_caps,56,360,0.15555555555555556,0.13,0.1807738095238095
variant,T4_arial_bold,54,360,0.15,0.13,0.16956521739130434
variant,T1_times_regular,53,360,0.14722222222222223,0.12916666666666668,0.16525362318840559
variant,T6_monospace,52,360,0.14444444444444443,0.12173913043478261,0.16666666666666666
variant,T8_small_text,48,360,0.13333333333333333,0.10952380952380952,0.15454545454545454
