dimension_id,flip_direction,count,rate
confident,NO→YES,21,0.23076923076923078
confident,YES→NO,70,0.7692307692307693
form_dependent,YES→NO,9,1.0
formal,NO→YES,3,0.047619047619047616
formal,YES→NO,60,0.9523809523809523
high_risk,NO→YES,17,0.4857142857142857
high_risk,YES→NO,18,0.5142857142857142
immediate_action,NO→YES,30,0.6521739130434783
immediate_action,YES→NO,16,0.34782608695652173
persuasive,NO→YES,53,0.9636363636363636
persuasive,YES→NO,2,0.03636363636363636
professional,YES→NO,58,1.0
trustworthy,NO→YES,150,0.9615384615384616
trustworthy,YES→NO,6,0.038461538461538464
urgent,NO→YES,5,0.45454545454545453
urgent,YES→NO,6,0.5454545454545454
