group_type,group_id,no_to_yes,yes_to_no,total_flips,pct_no_to_yes,pct_yes_to_no,net_bias
overall,all,88,550,638,13.793103448275861,86.20689655172414,-72.41379310344828
dimension,trustworthy,0,139,139,0.0,100.0,-100.0
dimension,high_risk,0,126,126,0.0,100.0,-100.0
dimension,confident,24,79,103,23.300970873786408,76.69902912621359,-53.39805825242718
dimension,professional,0,87,87,0.0,100.0,-100.0
dimension,formal,0,84,84,0.0,100.0,-100.0
dimension,persuasive,42,5,47,89.36170212765957,10.638297872340425,78.72340425531914
dimension,immediate_action,18,24,42,42.857142857142854,57.142857142857146,-14.285714285714292
dimension,urgent,2,6,8,25.0,75.0,-50.0
dimension,emotional,2,0,2,100.0,0.0,100.0
dimension,form_dependent,0,0,0,0.0,0.0,0.0
variant,A1_opendyslexic_regular,11,91,102,10.784313725490197,89.2156862745098,-78.43137254901961
variant,T7_comic,11,81,92,11.956521739130435,88.04347826086956,-76.08695652173913
variant,T5_arial_all_caps,15,66,81,18.51851851851852,81.48148148148148,-62.96296296296296
variant,T4_arial_bold,12,64,76,15.789473684210526,84.21052631578948,-68.42105263157896
variant,T6_monospace,8,65,73,10.95890410958904,89.04109589041096,-78.08219178082192
variant,T1_times_regular,12,60,72,16.666666666666668,83.33333333333333,-66.66666666666666
variant,T2_times_bold,10,61,71,14.084507042253522,85.91549295774648,-71.83098591549296
variant,T3_arial_regular,9,62,71,12.67605633802817,87.32394366197182,-74.64788732394365
