variant_id,flip_direction,count,rate
A1_opendyslexic_regular,NO→YES,11,0.10784313725490197
A1_opendyslexic_regular,YES→NO,91,0.8921568627450981
T1_times_regular,NO→YES,12,0.16666666666666666
T1_times_regular,YES→NO,60,0.8333333333333334
T2_times_bold,NO→YES,10,0.14084507042253522
T2_times_bold,YES→NO,61,0.8591549295774648
T3_arial_regular,NO→YES,9,0.1267605633802817
T3_arial_regular,YES→NO,62,0.8732394366197183
T4_arial_bold,NO→YES,12,0.15789473684210525
T4_arial_bold,YES→NO,64,0.8421052631578947
T5_arial_all_caps,NO→YES,15,0.18518518518518517
T5_arial_all_caps,YES→NO,66,0.8148148148148148
T6_monospace,NO→YES,8,0.1095890410958904
T6_monospace,YES→NO,65,0.8904109589041096
T7_comic,NO→YES,11,0.11956521739130435
T7_comic,YES→NO,81,0.8804347826086957
T8_small_text,NO→YES,12,0.17142857142857143
T8_small_text,YES→NO,58,0.8285714285714286
