metric,group_type,group_id,value,ci_low,ci_high,n
flip_rate,overall,all,0.20987654320987653,0.10525503573749187,0.31216931216931215,324
flip_rate,variant,A1_opendyslexic_regular,0.19444444444444445,,,36
flip_rate,variant,T1_times_regular,0.19444444444444445,,,36
flip_rate,variant,T2_times_bold,0.2222222222222222,,,36
flip_rate,variant,T3_arial_regular,0.2222222222222222,,,36
flip_rate,variant,T4_arial_bold,0.2222222222222222,,,36
flip_rate,variant,T5_arial_all_caps,0.16666666666666666,,,36
flip_rate,variant,T6_monospace,0.2222222222222222,,,36
flip_rate,variant,T7_comic,0.2222222222222222,,,36
flip_rate,variant,T8_small_text,0.2222222222222222,,,36
direction,overall,all,-0.7352941176470589,,,68
correlation,dimension,confident,-0.20514935740977505,,,324
lift,dimension,confident,0.3554939981532779,,,324
correlation,dimension,emotional,0.029308504827015042,,,324
lift,dimension,emotional,1.5970149253731343,,,324
correlation,dimension,form_dependent,0.0,,,324
lift,dimension,form_dependent,0.0,,,324
correlation,dimension,formal,-0.11023499880884256,,,324
lift,dimension,formal,0.5746753246753247,,,324
correlation,dimension,high_risk,0.36053076927939165,,,323
lift,dimension,high_risk,4.618571428571428,,,323
correlation,dimension,immediate_action,-0.10468704969857959,,,324
lift,dimension,immediate_action,0.46774738264099963,,,324
correlation,dimension,persuasive,0.22544599199545873,,,324
lift,dimension,persuasive,2.446031746031746,,,324
correlation,dimension,professional,0.35994517732556597,,,323
lift,dimension,professional,3.857142857142857,,,323
correlation,dimension,trustworthy,-0.07759649822092524,,,324
lift,dimension,trustworthy,0.7360114777618365,,,324
correlation,dimension,urgent,0.327968024676316,,,324
lift,dimension,urgent,5.338983050847458,,,324
