variant_id,flip_direction,count,rate
A1_opendyslexic_regular,NO→YES,1,0.14285714285714285
A1_opendyslexic_regular,YES→NO,6,0.8571428571428571
T1_times_regular,NO→YES,1,0.14285714285714285
T1_times_regular,YES→NO,6,0.8571428571428571
T2_times_bold,NO→YES,1,0.125
T2_times_bold,YES→NO,7,0.875
T3_arial_regular,NO→YES,1,0.125
T3_arial_regular,YES→NO,7,0.875
T4_arial_bold,NO→YES,1,0.125
T4_arial_bold,YES→NO,7,0.875
T5_arial_all_caps,NO→YES,1,0.16666666666666666
T5_arial_all_caps,YES→NO,5,0.8333333333333334
T6_monospace,NO→YES,1,0.125
T6_monospace,YES→NO,7,0.875
T7_comic,NO→YES,1,0.125
T7_comic,YES→NO,7,0.875
T8_small_text,NO→YES,1,0.125
T8_small_text,YES→NO,7,0.875
