group_type,group_id,flip_count,total,flip_rate,ci_low,ci_high
overall,all,638,2878,0.221681723419041,0.18977705274605763,0.25136134798612575
dimension,trustworthy,139,288,0.4826388888888889,0.3695652173913043,0.5893035714285714
dimension,high_risk,126,287,0.43902439024390244,0.32460732984293195,0.5535714285714286
dimension,confident,103,288,0.3576388888888889,0.2556818181818182,0.4602272727272727
dimension,professional,87,287,0.30313588850174217,0.18478260869565216,0.4083769633507853
dimension,formal,84,288,0.2916666666666667,0.22914402173913043,0.34782608695652173
dimension,persuasive,47,288,0.16319444444444445,0.07892680921052632,0.23685855263157884
dimension,immediate_action,42,288,0.14583333333333334,0.06546972049689441,0.21875
dimension,urgent,8,288,0.027777777777777776,0.0,0.047619047619047616
dimension,emotional,2,288,0.006944444444444444,0.0,0.0125
dimension,form_dependent,0,288,0.0,0.0,0.0
variant,A1_opendyslexic_regular,102,359,0.2841225626740947,0.25125341318464467,0.31601457286432155
variant,T7_comic,92,360,0.25555555555555554,0.22380952380952382,0.2863784584980236
variant,T5_arial_all_caps,81,360,0.225,0.18636363636363637,0.2608695652173913
variant,T4_arial_bold,76,360,0.2111111111111111,0.1782608695652174,0.24166666666666667
variant,T6_monospace,73,360,0.20277777777777778,0.17391304347826086,0.23043478260869565
variant,T1_times_regular,72,359,0.20055710306406685,0.16954983124875916,0.23043478260869565
variant,T2_times_bold,71,360,0.19722222222222222,0.1590909090909091,0.23333333333333334
variant,T3_arial_regular,71,360,0.19722222222222222,0.16363636363636364,0.23333333333333334
