group_type,group_id,flip_count,total,flip_rate,ci_low,ci_high
overall,all,809,9367,0.08636703320166542,0.07391480481399798,0.0995743131193933
dimension,confident,180,938,0.19189765458422176,0.1399322265021431,0.24680884871979805
dimension,trustworthy,151,922,0.16377440347071584,0.11122810175185985,0.221873503394653
dimension,high_risk,100,927,0.10787486515641856,0.06644339060271232,0.1550449344030947
dimension,persuasive,99,956,0.10355648535564854,0.06478578892371996,0.1463157894736842
dimension,formal,91,938,0.09701492537313433,0.06349078341013825,0.13612613270973395
dimension,urgent,59,940,0.0627659574468085,0.03167898627243928,0.09695370302541932
dimension,immediate_action,56,955,0.05863874345549738,0.030334728033472803,0.09309867138382
dimension,professional,50,951,0.052576235541535225,0.02405857740585774,0.0858661244470787
dimension,form_dependent,17,885,0.0192090395480226,0.0011223030001056907,0.0471936683874886
dimension,emotional,6,955,0.0062827225130890054,0.0020898641588296763,0.011518324607329843
variant,T7_comic,126,1166,0.10806174957118353,0.08990479579074481,0.12617511930814457
variant,T6_monospace,107,1154,0.0927209705372617,0.07646533212964679,0.10947002606429192
variant,A1_opendyslexic_regular,103,1157,0.08902333621434745,0.07340182850271447,0.1056286021670637
variant,T2_times_bold,103,1173,0.08780903665814152,0.07064436962155927,0.10602205258693809
variant,T4_arial_bold,102,1182,0.08629441624365482,0.06966864910790145,0.10338983050847457
variant,T5b_arial_caps,98,1171,0.08368915456874466,0.06869999869063674,0.09991388574442216
variant,T3_arial_regular,87,1183,0.073541842772612,0.058079586869536404,0.08975634696249946
variant,T1_times_regular,83,1181,0.07027942421676546,0.05606357705127296,0.08480486073394258
