group_type,group_id,flip_count,total,flip_rate,ci_low,ci_high
overall,all,1026,9600,0.106875,0.09353645833333332,0.120625
dimension,confident,304,960,0.31666666666666665,0.24895833333333334,0.38229166666666664
dimension,trustworthy,193,960,0.20104166666666667,0.147890625,0.2614843749999999
dimension,formal,159,960,0.165625,0.13229166666666667,0.20416666666666666
dimension,persuasive,109,960,0.11354166666666667,0.06979166666666667,0.159375
dimension,high_risk,106,960,0.11041666666666666,0.06458333333333334,0.16145833333333334
dimension,professional,56,960,0.058333333333333334,0.026041666666666668,0.09583333333333334
dimension,immediate_action,49,960,0.051041666666666666,0.023958333333333335,0.084375
dimension,urgent,42,960,0.04375,0.016666666666666666,0.075
dimension,form_dependent,7,960,0.007291666666666667,0.0,0.021875
dimension,emotional,1,960,0.0010416666666666667,0.0,0.003125
variant,T7_comic,171,1200,0.1425,0.125,0.16083333333333333
variant,A1_opendyslexic_regular,142,1200,0.11833333333333333,0.10166666666666667,0.135
variant,T4_arial_bold,127,1200,0.10583333333333333,0.08916666666666667,0.1225
variant,T5b_arial_caps,127,1200,0.10583333333333333,0.08916666666666667,0.12416666666666666
variant,T6_monospace,120,1200,0.1,0.08333333333333333,0.11583333333333333
variant,T2_times_bold,117,1200,0.0975,0.08083333333333333,0.115
variant,T3_arial_regular,115,1200,0.09583333333333334,0.0775,0.11416666666666667
variant,T1_times_regular,107,1200,0.08916666666666667,0.07416666666666667,0.10333333333333333
